GCT_STUB.display-label,HD01
Geographic area,Population
"La Plata town, Charles County",8753
"Largo CDP, Prince George's County",10709
"Laurel city, Prince George's County",25115
"La Vale CDP, Allegany County",3551
"Layhill CDP, Montgomery County",5169
"Laytonsville town, Montgomery County",353
"Leisure World CDP, Montgomery County",8749
"Leitersburg CDP, Washington County",573
"Leonardtown town, St. Mary's County",2930
"Lexington Park CDP, St. Mary's County",11626
"Libertytown CDP, Frederick County",950
"Linganore CDP, Frederick County",8543
"Linthicum CDP, Anne Arundel County",10324
"Little Orleans CDP, Allegany County",42
"Lochearn CDP, Baltimore County",25333
"Loch Lynn Heights town, Garrett County",552
"Lonaconing town, Allegany County",1214
"Long Beach CDP, Calvert County",1821
"Luke town, Allegany County",65
"Lusby CDP, Calvert County",1835
"Lutherville CDP, Baltimore County",6504
"McCoole CDP, Allegany County",511
"Madison CDP, Dorchester County",204
"Manchester town, Carroll County",4808
"Mapleville CDP, Washington County",238
"Mardela Springs town, Wicomico County",347
"Marlboro Meadows CDP, Prince George's County",3672
"Marlboro Village CDP, Prince George's County",9438
"Marlow Heights CDP, Prince George's County",5618
"Marlton CDP, Prince George's County",9031
"Martin's Additions village, Montgomery County",933
"Marydel town, Caroline County",141
"Maryland City CDP, Anne Arundel County",16093
"Maugansville CDP, Washington County",3071
"Mayo CDP, Anne Arundel County",8298
"Mays Chapel CDP, Baltimore County",11420
"Mechanicsville CDP, St. Mary's County",1508
"Melwood CDP, Prince George's County",3051
"Mercersville CDP, Washington County",130
"Middleburg CDP, Washington County",70
"Middle River CDP, Baltimore County",25191
"Middletown town, Frederick County",4136
"Midland town, Allegany County",446
"Midlothian CDP, Allegany County",320
"Milford Mill CDP, Baltimore County",29042
Millington town,642
Kent County (part),605
Queen Anne's County (part),37
"Mitchellville CDP, Prince George's County",10967
"Monrovia CDP, Frederick County",416
"Montgomery Village CDP, Montgomery County",32032
"Morningside town, Prince George's County",2015
"Moscow CDP, Allegany County",240
"Mount Aetna CDP, Washington County",561
"Mountain Lake Park town, Garrett County",2092
Mount Airy town,9288
Carroll County (part),5503
Frederick County (part),3785
"Mount Briar CDP, Washington County",160
"Mount Lena CDP, Washington County",515
"Mount Rainier city, Prince George's County",8080
"Mount Savage CDP, Allegany County",873
"Mount Vernon CDP, Somerset County",779
"Myersville town, Frederick County",1626
"Nanticoke CDP, Wicomico County",225
"Nanticoke Acres CDP, Wicomico County",103
"National CDP, Allegany County",56
"National Harbor CDP, Prince George's County",3788
"Naval Academy CDP, Anne Arundel County",4802
"Newark CDP, Worcester County",336
"New Carrollton city, Prince George's County",12135
"New Market town, Frederick County",656
"New Windsor town, Carroll County",1396
"Nikep CDP, Allegany County",116
"North Beach town, Calvert County",1978
"North Bethesda CDP, Montgomery County",43828
"North Brentwood town, Prince George's County",517
"North Chevy Chase village, Montgomery County",519
"North East town, Cecil County",3572
"North Kensington CDP, Montgomery County",9514
"North Laurel CDP, Howard County",4474
"North Potomac CDP, Montgomery County",24410
"Oakland town, Garrett County",1925
"Ocean CDP, Allegany County",32
"Ocean City town, Worcester County",7102
"Ocean Pines CDP, Worcester County",11710
"Odenton CDP, Anne Arundel County",37132
"Oldtown CDP, Allegany County",86
"Olney CDP, Montgomery County",33844
"Overlea CDP, Baltimore County",12275(r44987)
"Owings CDP, Calvert County",2149
"Owings Mills CDP, Baltimore County",30622
"Oxford town, Talbot County",651
"Oxon Hill CDP, Prince George's County",17722
